title,link
"Love is Devotion; Light is Wisdom | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/XFXkuonJUW4
"If you want to get boons from God, do these 3 things | Sri Sathya Sai Speaks | Oct 02, 1987",https://www.youtube.com/shorts/SHj1tpNMjss
"Wisdom is not divine. Then what is divine? | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/JgxX2Uq0sdY
"Part-time devotion is like a side of pickles | Sri Sathya Sai Speaks | Oct 02, 1987",https://www.youtube.com/shorts/zNJRCGPbTbI
"God is one. Goal is one. | Sri Sathya Sai Speaks | Mar 01, 2003",https://www.youtube.com/shorts/GXtX8pyHYiU
"Allah, Jesus or Rama never taught violence | Sri Sathya Sai Speaks | Dec 25, 2001",https://www.youtube.com/shorts/WzJhbiGSP-A
"Ramayana is not just for Parayana (reading) | Sri Sathya Sai Speaks | Apr 05, 1998",https://www.youtube.com/shorts/k9ECDU7swM8
"Why is Rama Nama all-powerful? | Sri Sathya Sai Speaks | Apr 05, 1998",https://www.youtube.com/shorts/lik6rppSyTY
"What are the Two Mantras Vishwamitra taught Rama & Lakshmana | Sri Sathya Sai Speaks | May 21, 1996",https://www.youtube.com/shorts/JRryqPuaQm0
"Ayodhya - A Place Beyond Controversy | Sri Sathya Sai Speaks | Apr 05, 1998",https://www.youtube.com/shorts/yH7YFezC-zs
"The Secret Behind Lord Rama's Descent | Sri Sathya Sai Speaks | May 21, 1997",https://www.youtube.com/shorts/CqZo7oU5CFc
"How Rama demonstrated equanimity | Sri Sathya Sai Speaks | Apr 05, 1998",https://www.youtube.com/shorts/uAgW070GItQ
"Swami beautifully describes Rama breaking the Shiva Dhanush | Sri Sathya Sai Speaks | May 21, 1996",https://www.youtube.com/shorts/Ru9gyIu_b2Q
"The 2 types of devotion of Lakshmana and Bharata | Sri Sathya Sai Speaks | Mar 30, 2004",https://www.youtube.com/shorts/CmwNzfh0iR4
"The Sacred Pearl Wedding (Talambralu) Ritual of Rama and Sita | Sri Sathya Sai Speaks | May 21, 1996",https://www.youtube.com/shorts/BPOqkFTm3Sw
"The 3 Weapons Rama used on Maricha, Subahu & their followers | Sri Sathya Sai Speaks | May 21, 1996",https://www.youtube.com/shorts/LwqdAVPDEFs
"In this age when people like sweets, what is the sweetest? | Sri Sathya Sai Speaks | Mar 30, 2004",https://www.youtube.com/shorts/3rKy2A0BHJQ
"The true nature of Rama as an ordinary man | Sri Sathya Sai Speaks | Apr 05, 1998",https://www.youtube.com/shorts/rIFO6av4_QQ
"The Science Behind Lord Rama Effortlessly Lifting the Bow | Sri Sathya Sai Speaks | May 21, 1996",https://www.youtube.com/shorts/TiGAT5Yw0X8
"Ravana was great, but Rama was good | Sri Sathya Sai Speaks | Nov 19, 1999",https://www.youtube.com/shorts/EI6dxZOxlUw
"When Vishwamitra tried to teach Rama how to use weapons | Sri Sathya Sai Speaks | May 21, 1996",https://www.youtube.com/shorts/KjVQ1zaFZK4
"How should Ugadi be celebrated? | Sri Sathya Sai Speaks | Apr 13, 2002",https://www.youtube.com/shorts/VZ119PcYzfw
"What one would gain by Panchanga Shravanam? | Sri Sathya Sai Speaks | March 20, 1996",https://www.youtube.com/shorts/gC3wSy06PQc
"What will the new year bring (Ugadi) | Sri Sathya Sai Speaks | March 20, 1996",https://www.youtube.com/shorts/ha4FPPxph8Y
"A Scientist is not a Creator | Sri Sathya Sai Speaks | Apr 14, 1998",https://www.youtube.com/shorts/Af1DFfLo66M
"Staying Silent is also not advisable | Sri Sathya Sai Speaks | Mar 02, 2003",https://www.youtube.com/shorts/BXiCnA11KYs
"Bharat's culture is unrelated to religion or caste | Sri Sathya Sai Speaks | Jan 14, 2003",https://www.youtube.com/shorts/FbOBcnYLMHA
